"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Lao People's Democratic Republic","2021","US$","2568.9240823807922"
"Latin America and the Caribbean","2019","US$","8527.791679518416"
"Latin America and the Caribbean","2020","US$","7105.848357686212"
"Latin America and the Caribbean","2021","US$","8100.5864256428595"
"Latvia","2019","US$","17919.63239918681"
"Latvia","2020","US$","18239.74267618316"
"Latvia","2021","US$","21267.462243470003"
"Lebanon","2019","US$","8997.36354586994"
"Lebanon","2020","US$","6895.234183080619"
"Lebanon","2021","US$","6784.799327725862"
"Lesotho","2019","US$","1094.2448385109194"
"Lesotho","2020","US$","938.7011000486193"
"Lesotho","2021","US$","1040.30867404702"
"Liberia","2019","US$","517.972477222484"
"Liberia","2020","US$","487.63602782774694"
"Liberia","2021","US$","470.7670163530131"
"Libya","2019","US$","10542.429020335816"
"Libya","2020","US$","7039.725252494277"
"Libya","2021","US$","5791.254976497968"
"Liechtenstein","2019","US$","167012.65471966832"
"Liechtenstein","2020","US$","157781.55935816508"
"Liechtenstein","2021","US$","169260.216995924"
"Lithuania","2019","US$","19217.239402214786"
"Lithuania","2020","US$","20156.468484877165"
"Lithuania","2021","US$","23844.125649522364"
"Luxembourg","2019","US$","112626.90770567696"
"Luxembourg","2020","US$","117374.22058934568"
"Luxembourg","2021","US$","133745.40150218992"
"Madagascar","2019","US$","512.2796655827365"
"Madagascar","2020","US$","462.5685828844791"
"Madagascar","2021","US$","499.72218508888477"
"Malawi","2019","US$","584.7217287928748"
"Malawi","2020","US$","607.0264094489632"
"Malawi","2021","US$","613.3410497030552"
"Malaysia","2019","US$","11135.188647470995"
"Malaysia","2020","US$","10150.830863608391"
"Malaysia","2021","US$","11100.943724686304"
"Maldives","2019","US$","11118.526229240248"
"Maldives","2020","US$","7282.372919911221"
"Maldives","2021","US$","10366.294434637035"
"Mali","2019","US$","840.1757461313067"
"Mali","2020","US$","822.9061375237948"
"Mali","2021","US$","874.5524142319227"
"Malta","2019","US$","31514.484999154138"
"Malta","2020","US$","29175.58198031302"
"Malta","2021","US$","33641.59568484012"
"Marshall Islands","2019","US$","5357.751520300483"
"Marshall Islands","2020","US$","5631.088567940478"
"Marshall Islands","2021","US$","6111.27229488704"
"Mauritania","2019","US$","1839.9627782334646"
"Mauritania","2020","US$","1868.4682482373119"
"Mauritania","2021","US$","2166.044796625597"
"Mauritius","2019","US$","11134.214841193132"
"Mauritius","2020","US$","8782.730906503702"
"Mauritius","2021","US$","8872.95918952896"
"Melanesia","2019","US$","3604.687367034257"
"Melanesia","2020","US$","3363.5356078626055"
"Melanesia","2021","US$","3574.990241183722"
"Mexico","2019","US$","10145.152627959309"
"Mexico","2020","US$","8654.997325169576"
"Mexico","2021","US$","10045.676371041029"
"Micronesia","2019","US$","3993.6911416838398"
"Micronesia","2020","US$","3897.709721851611"
"Micronesia","2021","US$","4009.763391938156"
"Micronesia (Federated States of)","2019","US$","3703.385853706713"
"Micronesia (Federated States of)","2020","US$","3635.0947139314576"
"Micronesia (Federated States of)","2021","US$","3572.6551519919385"
"Middle Africa","2019","US$","1281.1786440906455"
"Middle Africa","2020","US$","1053.6195597927804"
"Middle Africa","2021","US$","1219.463681059283"
"Monaco","2019","US$","199383.56714243477"
"Monaco","2020","US$","182537.30460069727"
"Monaco","2021","US$","234317.08481827597"
"Mongolia","2019","US$","4394.947150094265"
"Mongolia","2020","US$","4041.174145141904"
"Mongolia","2021","US$","4509.85839327106"
"Montenegro","2019","US$","8791.588867451992"
"Montenegro","2020","US$","7600.017858126392"
